권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
서남권,전남,C01,음식료품,공산품,300,8
서남권,전남,C02,섬유 및 가죽제품,공산품,301,8
서남권,전남,C03,"목재 및 종이, 인쇄",공산품,302,8
서남권,전남,C04,석탄 및 석유제품,공산품,303,8
서남권,전남,C05,화학제품,공산품,304,8
서남권,전남,C06,비금속광물제품,공산품,305,8
서남권,전남,C07,1차 금속제품,공산품,306,8
서남권,전남,C08,금속가공제품,공산품,307,8
서남권,전남,C09,"컴퓨터, 전자 및 광학기기",공산품,308,8
서남권,전남,C10,전기장비,공산품,309,8
서남권,전남,C11,기계 및 장비,공산품,310,8
서남권,전남,C12,운송장비,공산품,311,8
서남권,전남,C13,기타 제조업 제품,공산품,312,8
서남권,전남,C14,제조임가공 및 산업용 장비 수리,공산품,313,8
서남권,전남,D,"전력, 가스 및 증기",서비스,314,9
서남권,전남,E,"수도, 폐기물처리 및 재활용서비스",서비스,315,9
서남권,전남,F,건설,서비스,316,9
서남권,전남,G,도소매 및 상품중개서비스,서비스,317,9
서남권,전남,H,운송서비스,서비스,318,9
서남권,전남,I,음식점 및 숙박서비스,서비스,319,9
서남권,전남,J,정보통신 및 방송 서비스,서비스,320,9
서남권,전남,K,금융 및 보험 서비스,서비스,321,9
서남권,전남,L,부동산서비스,서비스,322,9
서남권,전남,M,"전문, 과학 및 기술 서비스",서비스,323,9
서남권,전남,N,사업지원서비스,서비스,324,9
서남권,전남,O,"공공행정, 국방 및 사회보장",서비스,325,9
서남권,전남,P,교육서비스,서비스,326,9
서남권,전남,Q,보건 및 사회복지 서비스,서비스,327,9
서남권,전남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,328,9
서남권,전남,S,기타 서비스,서비스,329,9
서남권,전남,T,기타,서비스,330,9
동남권,대구,A,농림수산품,농산품,331,4
동남권,대구,B,광산품,공산품,332,5
동남권,대구,C01,음식료품,공산품,333,5
동남권,대구,C02,섬유 및 가죽제품,공산품,334,5
동남권,대구,C03,"목재 및 종이, 인쇄",공산품,335,5
동남권,대구,C04,석탄 및 석유제품,공산품,336,5
동남권,대구,C05,화학제품,공산품,337,5
동남권,대구,C06,비금속광물제품,공산품,338,5
동남권,대구,C07,1차 금속제품,공산품,339,5
동남권,대구,C08,금속가공제품,공산품,340,5
동남권,대구,C09,"컴퓨터, 전자 및 광학기기",공산품,341,5
동남권,대구,C10,전기장비,공산품,342,5
동남권,대구,C11,기계 및 장비,공산품,343,5
동남권,대구,C12,운송장비,공산품,344,5
동남권,대구,C13,기타 제조업 제품,공산품,345,5
동남권,대구,C14,제조임가공 및 산업용 장비 수리,공산품,346,5
동남권,대구,D,"전력, 가스 및 증기",서비스,347,6
동남권,대구,E,"수도, 폐기물처리 및 재활용서비스",서비스,348,6
동남권,대구,F,건설,서비스,349,6
동남권,대구,G,도소매 및 상품중개서비스,서비스,350,6
동남권,대구,H,운송서비스,서비스,351,6
동남권,대구,I,음식점 및 숙박서비스,서비스,352,6
동남권,대구,J,정보통신 및 방송 서비스,서비스,353,6
동남권,대구,K,금융 및 보험 서비스,서비스,354,6
동남권,대구,L,부동산서비스,서비스,355,6
동남권,대구,M,"전문, 과학 및 기술 서비스",서비스,356,6
동남권,대구,N,사업지원서비스,서비스,357,6
동남권,대구,O,"공공행정, 국방 및 사회보장",서비스,358,6
동남권,대구,P,교육서비스,서비스,359,6
동남권,대구,Q,보건 및 사회복지 서비스,서비스,360,6
동남권,대구,R,"예술, 스포츠 및 여가 관련 서비스",서비스,361,6
동남권,대구,S,기타 서비스,서비스,362,6
동남권,대구,T,기타,서비스,363,6
동남권,경북,A,농림수산품,농산품,364,4
동남권,경북,B,광산품,공산품,365,5
동남권,경북,C01,음식료품,공산품,366,5
동남권,경북,C02,섬유 및 가죽제품,공산품,367,5
동남권,경북,C03,"목재 및 종이, 인쇄",공산품,368,5
동남권,경북,C04,석탄 및 석유제품,공산품,369,5
동남권,경북,C05,화학제품,공산품,370,5
동남권,경북,C06,비금속광물제품,공산품,371,5
동남권,경북,C07,1차 금속제품,공산품,372,5
동남권,경북,C08,금속가공제품,공산품,373,5
동남권,경북,C09,"컴퓨터, 전자 및 광학기기",공산품,374,5
동남권,경북,C10,전기장비,공산품,375,5
동남권,경북,C11,기계 및 장비,공산품,376,5
동남권,경북,C12,운송장비,공산품,377,5
동남권,경북,C13,기타 제조업 제품,공산품,378,5
동남권,경북,C14,제조임가공 및 산업용 장비 수리,공산품,379,5
동남권,경북,D,"전력, 가스 및 증기",서비스,380,6
동남권,경북,E,"수도, 폐기물처리 및 재활용서비스",서비스,381,6
동남권,경북,F,건설,서비스,382,6
동남권,경북,G,도소매 및 상품중개서비스,서비스,383,6
동남권,경북,H,운송서비스,서비스,384,6
동남권,경북,I,음식점 및 숙박서비스,서비스,385,6
동남권,경북,J,정보통신 및 방송 서비스,서비스,386,6
동남권,경북,K,금융 및 보험 서비스,서비스,387,6
동남권,경북,L,부동산서비스,서비스,388,6
동남권,경북,M,"전문, 과학 및 기술 서비스",서비스,389,6
동남권,경북,N,사업지원서비스,서비스,390,6
동남권,경북,O,"공공행정, 국방 및 사회보장",서비스,391,6
동남권,경북,P,교육서비스,서비스,392,6
동남권,경북,Q,보건 및 사회복지 서비스,서비스,393,6
동남권,경북,R,"예술, 스포츠 및 여가 관련 서비스",서비스,394,6
동남권,경북,S,기타 서비스,서비스,395,6
동남권,경북,T,기타,서비스,396,6
동남권,부산,A,농림수산품,농산품,397,4
동남권,부산,B,광산품,공산품,398,5
동남권,부산,C01,음식료품,공산품,399,5
동남권,부산,C02,섬유 및 가죽제품,공산품,400,5
동남권,부산,C03,"목재 및 종이, 인쇄",공산품,401,5
동남권,부산,C04,석탄 및 석유제품,공산품,402,5
동남권,부산,C05,화학제품,공산품,403,5
동남권,부산,C06,비금속광물제품,공산품,404,5
동남권,부산,C07,1차 금속제품,공산품,405,5
동남권,부산,C08,금속가공제품,공산품,406,5
동남권,부산,C09,"컴퓨터, 전자 및 광학기기",공산품,407,5
동남권,부산,C10,전기장비,공산품,408,5
동남권,부산,C11,기계 및 장비,공산품,409,5
동남권,부산,C12,운송장비,공산품,410,5
동남권,부산,C13,기타 제조업 제품,공산품,411,5
동남권,부산,C14,제조임가공 및 산업용 장비 수리,공산품,412,5
동남권,부산,D,"전력, 가스 및 증기",서비스,413,6
동남권,부산,E,"수도, 폐기물처리 및 재활용서비스",서비스,414,6
동남권,부산,F,건설,서비스,415,6
동남권,부산,G,도소매 및 상품중개서비스,서비스,416,6
동남권,부산,H,운송서비스,서비스,417,6
동남권,부산,I,음식점 및 숙박서비스,서비스,418,6
동남권,부산,J,정보통신 및 방송 서비스,서비스,419,6
동남권,부산,K,금융 및 보험 서비스,서비스,420,6
동남권,부산,L,부동산서비스,서비스,421,6
동남권,부산,M,"전문, 과학 및 기술 서비스",서비스,422,6
동남권,부산,N,사업지원서비스,서비스,423,6
동남권,부산,O,"공공행정, 국방 및 사회보장",서비스,424,6
동남권,부산,P,교육서비스,서비스,425,6
동남권,부산,Q,보건 및 사회복지 서비스,서비스,426,6
동남권,부산,R,"예술, 스포츠 및 여가 관련 서비스",서비스,427,6
동남권,부산,S,기타 서비스,서비스,428,6
동남권,부산,T,기타,서비스,429,6
동남권,울산,A,농림수산품,농산품,430,4
동남권,울산,B,광산품,공산품,431,5
동남권,울산,C01,음식료품,공산품,432,5
동남권,울산,C02,섬유 및 가죽제품,공산품,433,5
동남권,울산,C03,"목재 및 종이, 인쇄",공산품,434,5
동남권,울산,C04,석탄 및 석유제품,공산품,435,5
동남권,울산,C05,화학제품,공산품,436,5
동남권,울산,C06,비금속광물제품,공산품,437,5
동남권,울산,C07,1차 금속제품,공산품,438,5
동남권,울산,C08,금속가공제품,공산품,439,5
동남권,울산,C09,"컴퓨터, 전자 및 광학기기",공산품,440,5
동남권,울산,C10,전기장비,공산품,441,5
동남권,울산,C11,기계 및 장비,공산품,442,5
동남권,울산,C12,운송장비,공산품,443,5
동남권,울산,C13,기타 제조업 제품,공산품,444,5
동남권,울산,C14,제조임가공 및 산업용 장비 수리,공산품,445,5
동남권,울산,D,"전력, 가스 및 증기",서비스,446,6
동남권,울산,E,"수도, 폐기물처리 및 재활용서비스",서비스,447,6
동남권,울산,F,건설,서비스,448,6
동남권,울산,G,도소매 및 상품중개서비스,서비스,449,6
동남권,울산,H,운송서비스,서비스,450,6
동남권,울산,I,음식점 및 숙박서비스,서비스,451,6
동남권,울산,J,정보통신 및 방송 서비스,서비스,452,6
동남권,울산,K,금융 및 보험 서비스,서비스,453,6
동남권,울산,L,부동산서비스,서비스,454,6
동남권,울산,M,"전문, 과학 및 기술 서비스",서비스,455,6
동남권,울산,N,사업지원서비스,서비스,456,6
동남권,울산,O,"공공행정, 국방 및 사회보장",서비스,457,6
동남권,울산,P,교육서비스,서비스,458,6
동남권,울산,Q,보건 및 사회복지 서비스,서비스,459,6
동남권,울산,R,"예술, 스포츠 및 여가 관련 서비스",서비스,460,6
동남권,울산,S,기타 서비스,서비스,461,6
동남권,울산,T,기타,서비스,462,6
동남권,경남,A,농림수산품,농산품,463,4
동남권,경남,B,광산품,공산품,464,5
동남권,경남,C01,음식료품,공산품,465,5
동남권,경남,C02,섬유 및 가죽제품,공산품,466,5
동남권,경남,C03,"목재 및 종이, 인쇄",공산품,467,5
동남권,경남,C04,석탄 및 석유제품,공산품,468,5
동남권,경남,C05,화학제품,공산품,469,5
동남권,경남,C06,비금속광물제품,공산품,470,5
동남권,경남,C07,1차 금속제품,공산품,471,5
동남권,경남,C08,금속가공제품,공산품,472,5
동남권,경남,C09,"컴퓨터, 전자 및 광학기기",공산품,473,5
동남권,경남,C10,전기장비,공산품,474,5
동남권,경남,C11,기계 및 장비,공산품,475,5
동남권,경남,C12,운송장비,공산품,476,5
동남권,경남,C13,기타 제조업 제품,공산품,477,5
동남권,경남,C14,제조임가공 및 산업용 장비 수리,공산품,478,5
동남권,경남,D,"전력, 가스 및 증기",서비스,479,6
동남권,경남,E,"수도, 폐기물처리 및 재활용서비스",서비스,480,6
동남권,경남,F,건설,서비스,481,6
동남권,경남,G,도소매 및 상품중개서비스,서비스,482,6
동남권,경남,H,운송서비스,서비스,483,6
동남권,경남,I,음식점 및 숙박서비스,서비스,484,6
동남권,경남,J,정보통신 및 방송 서비스,서비스,485,6
동남권,경남,K,금융 및 보험 서비스,서비스,486,6
동남권,경남,L,부동산서비스,서비스,487,6
동남권,경남,M,"전문, 과학 및 기술 서비스",서비스,488,6
동남권,경남,N,사업지원서비스,서비스,489,6
동남권,경남,O,"공공행정, 국방 및 사회보장",서비스,490,6
동남권,경남,P,교육서비스,서비스,491,6
동남권,경남,Q,보건 및 사회복지 서비스,서비스,492,6
동남권,경남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,493,6
동남권,경남,S,기타 서비스,서비스,494,6
동남권,경남,T,기타,서비스,495,6
강원권,강원,A,농림수산품,농산품,496,4
강원권,강원,B,광산품,공산품,497,5
강원권,강원,C01,음식료품,공산품,498,5
강원권,강원,C02,섬유 및 가죽제품,공산품,499,5
강원권,강원,C03,"목재 및 종이, 인쇄",공산품,500,5
강원권,강원,C04,석탄 및 석유제품,공산품,501,5
강원권,강원,C05,화학제품,공산품,502,5
강원권,강원,C06,비금속광물제품,공산품,503,5
강원권,강원,C07,1차 금속제품,공산품,504,5
강원권,강원,C08,금속가공제품,공산품,505,5
강원권,강원,C09,"컴퓨터, 전자 및 광학기기",공산품,506,5
강원권,강원,C10,전기장비,공산품,507,5
강원권,강원,C11,기계 및 장비,공산품,508,5
강원권,강원,C12,운송장비,공산품,509,5
강원권,강원,C13,기타 제조업 제품,공산품,510,5
강원권,강원,C14,제조임가공 및 산업용 장비 수리,공산품,511,5
강원권,강원,D,"전력, 가스 및 증기",서비스,512,6
강원권,강원,E,"수도, 폐기물처리 및 재활용서비스",서비스,513,6
강원권,강원,F,건설,서비스,514,6
강원권,강원,G,도소매 및 상품중개서비스,서비스,515,6
강원권,강원,H,운송서비스,서비스,516,6
강원권,강원,I,음식점 및 숙박서비스,서비스,517,6
강원권,강원,J,정보통신 및 방송 서비스,서비스,518,6
강원권,강원,K,금융 및 보험 서비스,서비스,519,6
강원권,강원,L,부동산서비스,서비스,520,6
강원권,강원,M,"전문, 과학 및 기술 서비스",서비스,521,6
강원권,강원,N,사업지원서비스,서비스,522,6
강원권,강원,O,"공공행정, 국방 및 사회보장",서비스,523,6
강원권,강원,P,교육서비스,서비스,524,6
강원권,강원,Q,보건 및 사회복지 서비스,서비스,525,6
강원권,강원,R,"예술, 스포츠 및 여가 관련 서비스",서비스,526,6
강원권,강원,S,기타 서비스,서비스,527,6
강원권,강원,T,기타,서비스,528,6
제주권,제주,A,농림수산품,농산품,529,7
제주권,제주,B,광산품,공산품,530,8
제주권,제주,C01,음식료품,공산품,531,8
제주권,제주,C02,섬유 및 가죽제품,공산품,532,8
제주권,제주,C03,"목재 및 종이, 인쇄",공산품,533,8
제주권,제주,C04,석탄 및 석유제품,공산품,534,8
제주권,제주,C05,화학제품,공산품,535,8
제주권,제주,C06,비금속광물제품,공산품,536,8
제주권,제주,C07,1차 금속제품,공산품,537,8
제주권,제주,C08,금속가공제품,공산품,538,8
제주권,제주,C09,"컴퓨터, 전자 및 광학기기",공산품,539,8
제주권,제주,C10,전기장비,공산품,540,8
제주권,제주,C11,기계 및 장비,공산품,541,8
제주권,제주,C12,운송장비,공산품,542,8
제주권,제주,C13,기타 제조업 제품,공산품,543,8
제주권,제주,C14,제조임가공 및 산업용 장비 수리,공산품,544,8
제주권,제주,D,"전력, 가스 및 증기",서비스,545,9
제주권,제주,E,"수도, 폐기물처리 및 재활용서비스",서비스,546,9
제주권,제주,F,건설,서비스,547,9
제주권,제주,G,도소매 및 상품중개서비스,서비스,548,9
제주권,제주,H,운송서비스,서비스,549,9
제주권,제주,I,음식점 및 숙박서비스,서비스,550,9
제주권,제주,J,정보통신 및 방송 서비스,서비스,551,9
제주권,제주,K,금융 및 보험 서비스,서비스,552,9
제주권,제주,L,부동산서비스,서비스,553,9
제주권,제주,M,"전문, 과학 및 기술 서비스",서비스,554,9
제주권,제주,N,사업지원서비스,서비스,555,9
제주권,제주,O,"공공행정, 국방 및 사회보장",서비스,556,9
제주권,제주,P,교육서비스,서비스,557,9
제주권,제주,Q,보건 및 사회복지 서비스,서비스,558,9
제주권,제주,R,"예술, 스포츠 및 여가 관련 서비스",서비스,559,9
제주권,제주,S,기타 서비스,서비스,560,9
제주권,제주,T,기타,서비스,561,9
수입계,수입계,A,농림수산품,농산품,562,10
수입계,수입계,B,광산품,공산품,563,11
수입계,수입계,C01,음식료품,공산품,564,11
수입계,수입계,C02,섬유 및 가죽제품,공산품,565,11
수입계,수입계,C03,"목재 및 종이, 인쇄",공산품,566,11
수입계,수입계,C04,석탄 및 석유제품,공산품,567,11
수입계,수입계,C05,화학제품,공산품,568,11
수입계,수입계,C06,비금속광물제품,공산품,569,11
수입계,수입계,C07,1차 금속제품,공산품,570,11
수입계,수입계,C08,금속가공제품,공산품,571,11
수입계,수입계,C09,"컴퓨터, 전자 및 광학기기",공산품,572,11
수입계,수입계,C10,전기장비,공산품,573,11
수입계,수입계,C11,기계 및 장비,공산품,574,11
수입계,수입계,C12,운송장비,공산품,575,11
수입계,수입계,C13,기타 제조업 제품,공산품,576,11
수입계,수입계,C14,제조임가공 및 산업용 장비 수리,공산품,577,11
수입계,수입계,D,"전력, 가스 및 증기",서비스,578,12
수입계,수입계,E,"수도, 폐기물처리 및 재활용서비스",서비스,579,12
수입계,수입계,F,건설,서비스,580,12
수입계,수입계,G,도소매 및 상품중개서비스,서비스,581,12
수입계,수입계,H,운송서비스,서비스,582,12
수입계,수입계,I,음식점 및 숙박서비스,서비스,583,12
수입계,수입계,J,정보통신 및 방송 서비스,서비스,584,12
수입계,수입계,K,금융 및 보험 서비스,서비스,585,12
수입계,수입계,L,부동산서비스,서비스,586,12
수입계,수입계,M,"전문, 과학 및 기술 서비스",서비스,587,12
수입계,수입계,N,사업지원서비스,서비스,588,12
수입계,수입계,O,"공공행정, 국방 및 사회보장",서비스,589,12
수입계,수입계,P,교육서비스,서비스,590,12
수입계,수입계,Q,보건 및 사회복지 서비스,서비스,591,12
수입계,수입계,R,"예술, 스포츠 및 여가 관련 서비스",서비스,592,12
수입계,수입계,S,기타 서비스,서비스,593,12
수입계,수입계,T,기타,서비스,594,12
